category_slug,pid,product_slug,json_file,asin,updated_at
steam-iron,9954a8e2-da2a-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0BMLDRV8J.raw.json,B0BMLDRV8J,2024-03-27 07:29:13.221951
steam-iron,535acd50-8cba-11ed-a7ba-930ee103a0a2,mueller-professional-grade-steam-iron-retractable-cord-for-easy-storage-shot-of-steamvertical-shot-8-ft-cord-3-way-auto-shut-off-self-clean,output_json/steam-iron/raw/B082XJTJBS.raw.json,B082XJTJBS,2024-03-27 18:15:13.442406
steam-iron,01bdb6c6-da2b-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0B659ZKK9.raw.json,B0B659ZKK9,2024-03-27 07:29:12.555670
steam-iron,535ace1c-8cba-11ed-a7ba-930ee103a0a2,rowenta-da1560-travel-ready-1000-watt-compact-steam-iron-stainless-steel-soleplate-120-volt-and-240-volt-200-hole-purple,output_json/steam-iron/raw/B001RNOQIQ.raw.json,B001RNOQIQ,2024-03-27 18:12:50.667643
steam-iron,7bb9e968-da2b-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B09NQLGW2Y.raw.json,B09NQLGW2Y,2024-03-27 07:29:10.921677
steam-iron,b54b3c36-8cba-11ed-a7ba-930ee103a0a2,blackdecker-icr16x-blue-visit-the-blackdecker-store,output_json/steam-iron/raw/B010UZYNYS.raw.json,B010UZYNYS,2024-03-27 18:13:33.107821
steam-iron,b54c09e0-8cba-11ed-a7ba-930ee103a0a2,steamfast-sf-710-mini-steam-iron-white-non-stick-sole-plate-foldable-handle-visit-the-steamfast-store,output_json/steam-iron/raw/B0955JRT3F.raw.json,B0955JRT3F,2024-03-27 18:15:56.002754
steam-iron,ea6663e6-da2b-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0B7SNGQSV.raw.json,B0B7SNGQSV,2024-03-27 07:29:12.872776
steam-iron,535ace01-8cba-11ed-a7ba-930ee103a0a2,blackdecker-ir1350s-with-extra-large-soleplate-132-x-163-x-7-purple,output_json/steam-iron/raw/B007ZWEMIW.raw.json,B007ZWEMIW,2024-03-27 18:13:10.054080
steam-iron,3aaba01d-8cba-11ed-a7ba-930ee103a0a2,sunbeam-classic-1200-watt-mid-size-anti-drip-non-stick-soleplate-iron-with-shot-of-steamvertical-shot-feature-and-8-360-degree-swivel-cord-whiteclear-gcsbcl-317-000,output_json/steam-iron/raw/B00JPCWDJU.raw.json,B00JPCWDJU,2024-03-27 18:13:18.691851
steam-iron,b54c0984-8cba-11ed-a7ba-930ee103a0a2,sunbeam-1400-watt-stream-master-iron-blackblue-visit-the-sunbeam-store,output_json/steam-iron/raw/B09ZMJJ63W.raw.json,B09ZMJJ63W,2024-03-27 18:16:25.763491
steam-iron,705ec0e2-da2c-11ee-9c7c-37d09b6bdb57,,output_json/steam-iron/raw/B0BW5C64LV.raw.json,B0BW5C64LV,2024-03-27 07:29:13.739312
steam-iron,b54c09da-8cba-11ed-a7ba-930ee103a0a2,oliso-tg1600-pro-plus-1800-watt-smartiron-with-auto-lift-for-clothes-sewing-quilting-and-crafting-ironing-diamond-ceramic-flow-soleplate-steam-iron-yellow-visit-the-oliso-store,output_json/steam-iron/raw/B09JZYX5PY.raw.json,B09JZYX5PY,2024-03-27 18:16:14.054009
steam-iron,535acdb9-8cba-11ed-a7ba-930ee103a0a2,oliso-m2-pro-mini-project-iron-with-solemate-for-travel-sewing-quilting-and-crafting-butterscotch,output_json/steam-iron/raw/B07LD4BWN2.raw.json,B07LD4BWN2,2024-03-27 18:14:45.860398
